journal_name,repositories_with_notebooks_count,max_notebooks_count
eLife,212,91
Nature Communications,169,9
Scientific Data,111,92
PLoS Computational Biology,95,9
PLoS ONE,93,9
Scientific Reports,89,9
Bioinformatics,71,9
BMC Bioinformatics,65,9
GigaScience,47,9
Frontiers in Neuroinformatics,42,9
