created_year,major_version,count_major_version
2010,3,58
2011,2,2
2011,3,38
2012,2,4
2012,3,178
2013,2,41
2013,3,282
2013,u,40
2014,2,436
2014,3,195
2014,u,294
2015,2,303
2015,3,705
2015,u,28
2016,2,374
2016,3,920
2016,u,53
2017,2,323
2017,3,1368
2017,u,9
2018,2,256
2018,3,2371
2018,u,295
2019,2,164
2019,3,3915
2019,u,45
2020,2,92
2020,3,5707
2020,u,29
2021,2,80
2021,3,2604
2021,u,118
2022,2,2
2022,3,1146
2022,u,42
2023,3,20
2023,u,1
