journal_name,repository_count,repositories_with_notebooks_count
eLife,384,212
Nature Communications,336,169
PLoS Computational Biology,187,95
Scientific Data,186,111
PLoS ONE,161,93
BMC Bioinformatics,153,65
GigaScience,139,47
Scientific Reports,136,89
Bioinformatics,135,71
Frontiers in Neuroinformatics,114,42
